Diptera,Culicidae,Anopheles quadriannulatus,[34691](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34691 "NCBI Taxonomy DB Record"),NA,[11545](https://www.ncbi.nlm.nih.gov/genome/?term=11545 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Lepidoptera,Nymphalidae,Heliconius cydno,[33424](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33424 "NCBI Taxonomy DB Record"),NA,[10843](https://www.ncbi.nlm.nih.gov/genome/?term=10843 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
Lepidoptera,Nymphalidae,Heliconius hecale,[33425](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33425 "NCBI Taxonomy DB Record"),NA,[33769](https://www.ncbi.nlm.nih.gov/genome/?term=33769 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
Lepidoptera,Nymphalidae,Heliconius ismenius,[33427](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33427 "NCBI Taxonomy DB Record"),NA,[36108](https://www.ncbi.nlm.nih.gov/genome/?term=36108 "NCBI Genome DB Record")
Lepidoptera,Nymphalidae,Heliconius pardalinus,[33441](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33441 "NCBI Taxonomy DB Record"),NA,[42296](https://www.ncbi.nlm.nih.gov/genome/?term=42296 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
Lepidoptera,Nymphalidae,Heliconius elevatus,[33444](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33444 "NCBI Taxonomy DB Record"),NA,[42294](https://www.ncbi.nlm.nih.gov/genome/?term=42294 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
Ixodida,Ixodidae,Ixodes ricinus,[34613](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34613 "NCBI Taxonomy DB Record"),castor bean tick,[16267](https://www.ncbi.nlm.nih.gov/genome/?term=16267 "NCBI Genome DB Record")
Mesostigmata,Phytoseiidae,Galendromus occidentalis,[34638](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34638 "NCBI Taxonomy DB Record"),western predatory mite,[3487](https://www.ncbi.nlm.nih.gov/genome/?term=3487 "NCBI Genome DB Record")
Scorpiones,Buthidae,Mesobuthus martensii,[34649](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34649 "NCBI Taxonomy DB Record"),Chinese scorpion; Manchurian scorpion,[14571](https://www.ncbi.nlm.nih.gov/genome/?term=14571 "NCBI Genome DB Record")
Diptera,Culicidae,Anopheles melas,[34690](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34690 "NCBI Taxonomy DB Record"),NA,[11549](https://www.ncbi.nlm.nih.gov/genome/?term=11549 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Lepidoptera,Nymphalidae,Heliconius numata,[33419](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33419 "NCBI Taxonomy DB Record"),NA,[12823](https://www.ncbi.nlm.nih.gov/genome/?term=12823 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase")
Hymenoptera,Formicidae,Trachymyrmex septentrionalis,[34720](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34720 "NCBI Taxonomy DB Record"),NA,[44116](https://www.ncbi.nlm.nih.gov/genome/?term=44116 "NCBI Genome DB Record")
Lepidoptera,Nymphalidae,Heliconius melpomene,[34740](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=34740 "NCBI Taxonomy DB Record"),postman butterfly; common postman,[10844](https://www.ncbi.nlm.nih.gov/genome/?term=10844 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
